rank	token	count
1	के	19135
2	में	12641
3	की	10730
4	है	10070
5	को	8410
6	से	6873
7	ने	6650
8	कि	5988
9	और	5506
10	का	5214
11	पर	4638
12	हैं	3276
13	कहा	2864
14	इस	2806
15	लिए	2765
16	भी	2538
17	एक	2379
18	नहीं	2225
19	किया	2220
20	कर	2005
21	गया	1955
22	करने	1784
23	यह	1745
24	था	1668
25	उन्होंने	1578
26	ही	1336
27	बाद	1297
28	दिया	1276
29	सरकार	1272
30	हो	1262
31	हुए	1162
32	साथ	1117
33	तक	1005
34	गई	977
35	गए	967
36	थी	884
37	सिंह	875
38	लेकिन	863
39	भारत	843
40	थे	841
41	जा	819
42	व	813
43	रहे	801
44	इसके	785
45	अपने	784
46	दी	773
47	बताया	772
48	तो	753
49	होने	726
50	वह	725
51	लोगों	716
52	पुलिस	708
53	रही	697
54	वाले	684
55	रहा	683
56	जाने	666
57	द्वारा	654
58	रूप	653
59	पहले	651
60	कुछ	648
61	कोई	640
62	जो	613
63	पार्टी	588
64	दो	583
65	उनके	562
66	हुई	554
67	समय	552
68	मंत्री	549
69	करते	548
70	राज्य	532
71	तरह	526
72	मामले	522
73	प्रधानमंत्री	519
74	बीच	515
75	दौरान	514
76	कांग्रेस	513
77	इन	512
78	उन्हें	510
79	अपनी	508
80	अब	502
81	कई	493
82	किसी	487
83	दोनों	486
84	बात	484
85	पाकिस्तान	471
86	अन्य	449
87	किए	447
88	सभी	446
89	बारे	440
90	देने	437
91	चुनाव	435
92	शामिल	433
93	कारण	431
94	दिल्ली	427
95	हुआ	422
96	वे	420
97	पूर्व	414
98	देश	411
99	शुरू	408
100	भाजपा	408
101	क्षेत्र	407
102	भारतीय	405
103	लिया	402
104	साल	390
105	या	389
106	चाहिए	388
107	लेकर	374
108	उनकी	371
109	बैठक	370
110	जाएगा	369
111	सकता	366
112	जाता	359
113	तीन	359
114	अध्यक्ष	359
115	मुताबिक	350
116	आयोग	347
117	केंद्र	346
118	करना	346
119	वर्ष	343
120	कहना	343
121	वाली	341
122	बार	340
123	खिलाफ	339
124	कम	330
125	सुरक्षा	329
126	काम	328
127	रुपये	325
128	जब	322
129	मंत्रालय	318
130	लोग	317
131	जारी	316
132	पास	315
133	दिन	314
134	होगा	310
135	सबसे	310
136	प्रदेश	307
137	ओर	305
138	इससे	303
139	पिछले	299
140	नेता	299
141	जबकि	294
142	कश्मीर	285
143	रिपोर्ट	285
144	उसके	277
145	हालांकि	271
146	यहां	270
147	सूत्रों	269
148	ज्यादा	269
149	जानकारी	266
150	देशों	266
151	जांच	264
152	राष्ट्रीय	262
153	अधिक	261
154	अलावा	259
155	उसे	259
156	फीसदी	258
157	दिए	258
158	बातचीत	257
159	दे	255
160	नेताओं	255
161	राष्ट्रपति	251
162	अभी	250
163	नाम	250
164	तैयार	250
165	विकास	248
166	उस	248
167	इसे	246
168	स्थित	245
169	अदालत	242
170	आज	239
171	तथा	239
172	केंद्रीय	239
173	फिर	237
174	मुख्यमंत्री	236
175	सेना	236
176	काफी	235
177	योजना	235
178	आरोप	231
179	तहत	231
180	अमेरिका	231
181	सकते	231
182	करोड़	230
183	यात्रा	228
184	चार	228
185	फैसला	226
186	पूरी	226
187	अलग	226
188	अधिकारियों	225
189	मनमोहन	224
190	न	223
191	विदेश	223
192	इसमें	222
193	प्रस्ताव	222
194	उत्तर	221
195	कोर्ट	221
196	विचार	220
197	बनाने	218
198	यहाँ	217
199	अनुसार	216
200	राज्यों	213
201	विभाग	212
202	इसका	211
203	हम	211
204	प्रमुख	210
205	अधिकारी	209
206	बिहार	209
207	दल	208
208	बहुत	208
209	मुद्दे	208
